AdSense Earnings Month,Channel ID,Revenue Source,Local Currency,Total Revenue By Source,US Sourced Revenue,Tax Withholding Rate,Tax Withheld Amount
202301,UCj9V4l-HhqBodluN48KVSVQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.049058,0.041073,15.00,0.006161
202301,UCjBM30H6URGv1fiZEtvXW8g,Ads Revenue,HKD,190.694772,1.864621,15.00,0.279693
202301,UCjBM30H6URGv1fiZEtvXW8g,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.174614,0.047578,15.00,0.007137
202301,UCjJKUbYe_uhaJXU6OdYIFdg,Ads Revenue,HKD,1.699626,0,24.00,0.40791
202301,UCjL-pnDzr6VDQpbXjeVQEvw,Ads Revenue,HKD,26.549391,0.606169,15.00,0.090925
202301,UCjL-pnDzr6VDQpbXjeVQEvw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.000678,0.000359,15.00,0.000054
202301,UCjTNMPcj2sMgxLCPQN6qY8A,Ads Revenue,HKD,38.878728,0.486772,15.00,0.073016
202301,UCjTNMPcj2sMgxLCPQN6qY8A,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.038246,0.020548,15.00,0.003082
202301,UCjXz9W4PzoAKeYzGWdME-vw,Ads Revenue,HKD,34.552414,0.623621,15.00,0.093543
202301,UCjXz9W4PzoAKeYzGWdME-vw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.026956,0.008608,15.00,0.001291
202301,UCjY3xcANaqCtEjfZl2FO4sg,Ads Revenue,HKD,4.482418,0.014277,15.00,0.002142
202301,UCjY3xcANaqCtEjfZl2FO4sg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.00496,0.000281,15.00,0.000042
202301,UCjkN6DU_yXojWba36OxvYZg,Ads Revenue,HKD,6.231926,0.018828,15.00,0.002824
202301,UCjkN6DU_yXojWba36OxvYZg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.003506,0.001555,15.00,0.000233
202301,UCjnYFKdyUxymRVCNa2lPTog,Ads Revenue,HKD,1458.39086,69.825723,15.00,10.473858
202301,UCjnYFKdyUxymRVCNa2lPTog,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,8.057699,2.376833,15.00,0.356525
202301,UCkGqRelqBSCugPJAYQ2IEWg,Ads Revenue,HKD,2904.642076,39.081817,15.00,5.862273
202301,UCkGqRelqBSCugPJAYQ2IEWg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,2.027923,0.213971,15.00,0.032096
